Time;Angle1;Angle2;AngularVel1;AngularVel2;A;B;C;AB;BC;gt_Angle1;gt_Angle2;abs_err_Angle1;abs_err_Angle2
1.5153;-0.0;-0.0;0.0;0.0;[500. 500.];[500. 720.];[500. 941.];[  0. 220.];[  0. 221.];-0.0;-0.0;0.0;0.0
2.485;0.9541945578277155;0.25302857425308123;1.085596167412515;8.075146332609265;[500. 500.];[681.  629.4];[886.8 706.9];[181.  129.4];[205.8  77.5];0.9501288680046494;0.2605130010161101;0.004065689823066099;0.007484426763028851
3.4499;2.0265700827716024;-0.4285077875211108;19.384138599232024;-29.620783995850225;[500. 500.];[704.3 400. ];[923.2 394.7];[ 204.3 -100. ];[218.9  -5.3];2.025989556028089;-0.43098598980981917;0.0005805267435134986;0.0024782022887083754
4.4299;1.6017598789778775;0.06551022299960711;19.585680888863198;1.5617903584652422;[500. 500.];[725.7 493.6];[942.7 472.4];[225.7  -6.4];[217.  -21.2];1.5991449553550419;0.06903817319994365;0.002614923622835663;0.003527950200336541
5.3972;-2.365540012499835;1.6400071388185098;-3.1353102146093246;-11.641092623512936;[500. 500.];[340.2 338.3];[190.8 505.9];[-159.8 -161.7];[-149.4  167.6];-2.362104219215197;1.6340563460961017;0.0034357932846380557;0.00595079272240806
6.3603;2.8795762356355663;2.728868129320468;7.373352713389916;21.111535131055014;[500. 500.];[558.6 279.9];[418.  455.5];[  58.6 -220.1];[-140.6  175.6];2.881386200620936;2.726641613401123;0.001809964985369561;0.0022265159193448625
7.3288;-2.8379207969197933;2.621195483195053;9.045662834974063;-35.615462833016444;[500. 500.];[431.7 282.8];[382.2 502.1];[ -68.3 -217.2];[-49.5 219.3];-2.8369261432715103;2.6149282185240454;0.0009946536482829949;0.0062672646710075774
8.3055;0.5729661428887061;1.2428088470330545;23.694211154718126;-33.987511749900925;[500. 500.];[619.2 686.7];[835.4 631.7];[119.2 186.7];[216.2 -55. ];0.5682180845373542;1.2516882147786954;0.004748058351351836;0.00887936774564091
9.2718;0.5992662072903374;0.10836701650437881;21.43396599879332;-46.297645279722765;[500. 500.];[624.4 682.7];[766.9 849.4];[124.4 182.7];[142.5 166.7];0.5977902192146726;0.10950067609164577;0.001475988075664847;0.0011336595872669525
10.2377;2.4028894942356755;-1.04098247400569;2.6452777761592494;24.720147652604407;[500. 500.];[652.3 332.3];[869.5 379. ];[ 152.3 -167.7];[217.2  46.7];2.4042823889842504;-1.0452710234573737;0.0013928947485748466;0.004288549451683554
11.6897;0.2614788157122492;0.926302778027015;12.375684457519695;-18.66714775901843;[500. 500.];[556.6 712.9];[762.7 795.7];[ 56.6 212.9];[206.1  82.8];0.2598421357459742;0.9289429241771865;0.0016366799662749787;0.0026401461501714962
13.1393;-1.8869289627665835;-0.7033071266683769;-1.5563574307784622;2.734936585230162;[500. 500.];[284.9 431.1];[169.5 243.6];[-215.1  -68.9];[-115.4 -187.5];-1.8807860120989712;-0.7090921475510323;0.006142950667612279;0.005785020882655423
14.1871;0.7502688512262587;-2.290101625838174;14.379278653998773;-17.872420441682596;[500. 500.];[650.9 662.7];[424.  668.7];[150.9 162.7];[-226.9    6. ];0.7477883554111888;-2.2921474760222114;0.0024804958150699274;0.0020458501840372456
15.2172;-0.8876048815047018;0.11502652858015451;-12.598109975703366;26.859099665254586;[500. 500.];[327.2 640.8];[173.  797.8];[-172.8  140.8];[-154.2  157. ];-0.8870870151605256;0.1106860382889498;0.0005178663441762765;0.0043404902912047155
16.3695;0.03634762101902216;-2.4365388580770677;-9.67184872568726;-6.599375842226743;[500. 500.];[507.7 720.6];[354.3 553.8];[  7.7 220.6];[-153.4 -166.8];0.034890640060578966;-2.4329095700442167;0.0014569809584431964;0.003629288032851008
17.4936;0.3231852736417788;-0.2140318107329012;1.5448896877054246;19.629282420303074;[500. 500.];[569.9 709.3];[593.6 928.2];[ 69.9 209.3];[ 23.7 218.9];0.32232378448576154;-0.21447526291776575;0.0008614891560172477;0.0004434521848645512
18.5013;0.12774098612131216;0.5936421994417914;-2.416828778522516;-10.623535522934331;[500. 500.];[527.6 718.6];[673.6 885.1];[ 27.6 218.6];[146.  166.5];0.1255934537199364;0.5942985675924666;0.0021475324013757457;0.0006563681506751573
19.5401;-0.24828990930306824;-1.1654398565283899;9.977297191339195;1.4173489094594776;[500. 500.];[446.  713.7];[223.9 747.3];[-54.  213.7];[-222.1   33.6];-0.24750946758276163;-1.1731421794971677;0.0007804417203066127;0.007702322968777819
20.6499;0.4656760037848586;0.896231016445127;-3.3412389925757595;1.9871948172683198;[500. 500.];[598.4 697.5];[815.5 742.9];[ 98.4 197.5];[217.1  45.4];0.462228882753643;0.9024180181385442;0.0034471210312156386;0.006187001693417127
21.7558;-0.2944976191627293;-0.7744403299490391;6.994156300965416;-2.531625023327262;[500. 500.];[436.6 711.1];[240.8 818.6];[-63.4 211.1];[-195.8  107.5];-0.2917609835872052;-0.7769374493919948;0.0027366355755241156;0.0024971194429557197
22.8016;0.5163371328704748;0.7599615747616929;-2.86274092755419;1.8809741769990536;[500. 500.];[607.6 693.1];[820.1 756.1];[107.6 193.1];[212.5  63. ];0.5083727248899349;0.7742079369593677;0.007964407980539878;0.014246362197674833
23.7926;-1.6109532988155668;-0.5049426812860071;-0.29208866814201423;-18.853417425943444;[500. 500.];[275.9 491.9];[ 87.2 377.8];[-224.1   -8.1];[-188.7 -114.1];-1.6069251773076723;-0.507712630489952;0.004028121507894555;0.0027699492039449103
24.8268;1.0326898524687296;-2.2971621710085843;36.01538791147475;-92.09012260442417;[500. 500.];[691.9 613.9];[475.2 682.7];[191.9 113.9];[-216.7   68.8];1.0351416229274844;-2.298513859795046;0.002451770458754776;0.0013516887864617466
25.8119;0.8714471322667399;1.5799996353443715;13.556237740470475;11.764118117742905;[500. 500.];[669.6 643.9];[812.1 471.4];[169.6 143.9];[ 142.5 -172.5];0.8671929325465058;1.5839532639885954;0.004254199720234109;0.003953628644223883
26.9774;1.3821571105703936;1.8179273044790472;14.199736165036956;64.87896306719448;[500. 500.];[720.2 542.8];[706.8 319.3];[220.2  42.8];[ -13.4 -223.5];1.378821241921422;1.8226549844370874;0.0033358686489715073;0.004727679958040243
28.3094;-1.8953479943136315;-0.8112777082305819;17.835286545454878;-8.07456790109952;[500. 500.];[285.2 429.2];[192.9 230.5];[-214.8  -70.8];[ -92.3 -198.7];-1.8891911890893889;-0.8175390411772865;0.006156805224242667;0.006261332946704612
29.6109;-1.6287670148904771;1.7592432462827263;9.632919443452629;;[500. 500.];[274.8 486.8];[304.1 708.8];[-225.2  -13.2];[ 29.3 222. ];-1.6293439029496979;1.7605674539695326;0.000576888059220737;0.0013242076868063002
30.9437;2.34377276887039;1.7457584894011524;22.220612670930215;-7.516196453300079;[500. 500.];[662.5 340.7];[481.  210.7];[ 162.5 -159.3];[-181.5 -130. ];2.3462507533075057;1.744586997492235;0.0024779844371156656;0.0011714919089174103
32.1956;2.7113314555256878;0.8877360459601309;7.7173159291232745;-16.83717752565589;[500. 500.];[594.7 293.4];[497.4  97.9];[  94.7 -206.6];[ -97.3 -195.5];2.7117970417153296;0.8916000937385415;0.0004655861896418756;0.003864047778410651
33.1806;1.839375757313777;2.5751680998257025;9.752427779077982;49.394342562116464;[500. 500.];[718.9 440.5];[502.  373.6];[218.9 -59.5];[-216.9  -66.9];1.836197772996002;2.577012069902167;0.003177984317775051;0.0018439700764645295
34.1851;0.1141801054424639;1.9862999377812902;-29.189281374599688;79.06677363607538;[500. 500.];[523.9 719.1];[718.9 605.2];[ 23.9 219.1];[ 195.  -113.9];0.10865301501886639;1.9907915018918982;0.005527090423597517;0.004491564110608026
35.1714;-1.7001154283867779;0.6315654164505586;-0.09308503631765931;17.568578200592768;[500. 500.];[276.7 471.1];[ 82.9 577.2];[-223.3  -28.9];[-193.8  106.1];-1.6995031916263654;0.629606829013403;0.0006122367604124435;0.001958587437155601
36.1535;1.6018974062368783;0.0467230738035082;1.583150832052289;11.181089379471516;[500. 500.];[725.  493.1];[942.5 476.4];[225.   -6.9];[217.5 -16.7];1.6014533854503625;0.045974195529239266;0.00044402078651573085;0.0007488782742689354
37.1555;-1.4225702427745308;-1.9076616270397655;-1.8119791823387004;5.8480466881075515;[500. 500.];[278.4 533.8];[320.2 313.5];[-221.6   33.8];[  41.8 -220.3];-1.4194358323081748;-1.9096690328699353;0.0031344104663559857;0.002007405830169784
38.1608;-1.2604089196625452;0.28769042223935615;-31.708038198294417;9.824803188328668;[500. 500.];[287. 568.];[104.8 691.6];[-213.   68.];[-182.2  123.6];-1.261774929258857;0.2870435155743271;0.0013660095963117236;0.0006469066650290345
39.1487;-0.35770627471724165;0.41219773095797285;-24.778496502403307;6.029522834445555;[500. 500.];[422.8 706.1];[435.3 926.7];[-77.2 206.1];[ 12.5 220.6];-0.35839840906675113;0.4150015256172712;0.0006921343495094878;0.0028037946592983642
40.1456;-0.10965017216890918;0.17320084359436616;-44.83363864424394;7.3540610389306185;[500. 500.];[475.6 718.7];[490.  937.8];[-24.4 218.7];[ 14.4 219.1];-0.11110886966027314;0.1767378959012971;0.0014586974913639583;0.003537052306930938
41.1802;-2.249680891712332;0.06024021399269039;-11.456314034279334;;[500. 500.];[322.7 358.8];[145.9 233. ];[-177.3 -141.2];[-176.8 -125.8];-2.2433323528644955;0.05410803169707697;0.006348538847836593;0.006132182295613416
42.2941;-2.5572620041630834;-0.5751143205210246;-11.293865589926458;3.0068030488055553;[500. 500.];[374.3 310.6];[372.7  94.1];[-125.7 -189.4];[  -1.6 -216.5];-2.555664229595757;-0.5785382583028837;0.0015977745673265709;0.003423937781859121
43.2619;2.8281984506445865;-1.0989249560514325;-11.12854127567953;-15.103829418023684;[500. 500.];[568.8 283.8];[788.9 249.1];[  68.8 -216.2];[220.1 -34.7];2.8335016900536263;-1.1063368040512953;0.005303239409039762;0.007411847999862831
44.2749;-2.56706962573145;-1.163778763582043;-3.1213341699710853;-8.474005200466397;[500. 500.];[376.3 309.8];[500.3 125.8];[-123.7 -190.2];[ 124. -184.];-2.5649587533790954;-1.1696364620922237;0.0021108723523544093;0.005857698510180809
45.2782;-1.490253455799752;1.0446761688251702;-6.899412466704786;;[500. 500.];[276.1 517.4];[180.8 719.3];[-223.9   17.4];[-95.3 201.9];-1.4932389433879074;1.0522282203544604;0.002985487588155422;0.007552051529290171
46.2762;1.0911180270122587;2.243495761136691;-7.814348654453908;3.9783861157080884;[500. 500.];[697.7 603.4];[654.7 382.9];[197.7 103.4];[ -43.  -220.5];1.0889069563667346;2.2452798971986505;0.0022110706455240603;0.0017841360619597069
47.3025;0.3965387586055973;-2.784169430154216;13.299081365428535;-70.50569794694023;[500. 500.];[584.9 703.4];[429.2 539.6];[ 84.9 203.4];[-155.7 -163.8];0.3954193260876489;-2.7769604995317962;0.0011194325179483822;0.007208930622419896
48.307;-0.9038126337658149;1.1901170479037422;-1.6358741822138565;-17.050618041491976;[500. 500.];[325.2 637.3];[387.9 851.7];[-174.8  137.3];[ 62.7 214.4];-0.9049787002800707;1.1894890776083638;0.0011660665142557702;0.0006279702953784216
49.3027;0.7917675040161116;1.5135156047199139;-2.2919880336599583;-1.3950849988931036;[500. 500.];[656.6 656. ];[824.2 506.8];[156.6 156. ];[ 167.6 -149.2];0.7873175468369662;1.510861312954513;0.004449957179145425;0.0026542917654008846
50.3169;-0.8557944667036848;-1.073772530361784;-2.979688009347507;-1.9211628964344962;[500. 500.];[333.3 645.8];[124.5 567.4];[-166.7  145.8];[-208.8  -78.4];-0.8521787135433692;-1.0778080987787124;0.0036157531603155935;0.004035568416928426
51.3181;0.2714333499351639;0.29006031333193505;5.363468154983161;9.731561885158222;[500. 500.];[558.3 711.9];[675.  898.7];[ 58.3 211.9];[116.7 186.8];0.268486860659086;0.2899199526415198;0.0029464892760778794;0.00014036069041523103
52.3457;-1.5529410816553442;-1.342578817340421;-28.767688995592486;89.69919245453585;[500. 500.];[275.6 505. ];[221.2 289.5];[-224.4    5. ];[ -54.4 -215.5];-1.5485183731677425;-1.3458040455753173;0.004422708487601623;0.003225228234896349
53.3372;-0.98404216204941;0.8933822748486648;12.639270112993458;-25.20874269546791;[500. 500.];[314.7 622.7];[295.  844.3];[-185.3  122.7];[-19.7 221.6];-0.9859136432378578;0.897247811913661;0.001871481188447821;0.0038655370649961496
